"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","25.12"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","6.22"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ms","1.09"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","943,718,400"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","1,204,224"
"0","13622","python3.12","127.0.0.1","void implicit_convolve_sgemm<float, float, 512, 6, 8, 3, 3, 5, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","1","7","(8, 32, 1)","(25, 3, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"1","13622","python3.12","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4704, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","5.76"
"1","13622","python3.12","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4704, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","4.42"
"1","13622","python3.12","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4704, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","47.33"
"1","13622","python3.12","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4704, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
